Deck,Seen %,Win %,Avg Cubes,Cards
Sera Surfer,3.95,56.53,0.55,"Copy Code: # (1) Nova
# (2) Goose
# (3) Brood
# (3) Rogue
# (3) Silver Surfer
# (3) Storm
# (3) Juggernaut
# (3) Killmonger
# (3) Shadow King
# (3) Polaris
# (3) Spider-Man
# (5) Sera
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTm92YSJ9LHsiQ2FyZERlZklkIjoiR29vc2UifSx7IkNhcmREZWZJZCI6IkJyb29kIn0seyJDYXJkRGVmSWQiOiJSb2d1ZSJ9LHsiQ2FyZERlZklkIjoiU2lsdmVyU3VyZmVyIn0seyJDYXJkRGVmSWQiOiJTdG9ybSJ9LHsiQ2FyZERlZklkIjoiSnVnZ2VybmF1dCJ9LHsiQ2FyZERlZklkIjoiS2lsbG1vbmdlciJ9LHsiQ2FyZERlZklkIjoiU2hhZG93S2luZyJ9LHsiQ2FyZERlZklkIjoiUG9sYXJpcyJ9LHsiQ2FyZERlZklkIjoiU3BpZGVyTWFuIn0seyJDYXJkRGVmSWQiOiJTZXJhIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Shuri Clone,3.15,58.17,0.53,"Copy Code: # (1) Iceman
# (1) Kitty Pryde
# (2) Angela
# (2) Forge
# (2) Armor
# (3) Hulkbuster
# (3) Polaris
# (4) Shuri
# (4) Captain Marvel
# (5) Taskmaster
# (5) Vision
# (6) America Chavez
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiSWNlbWFuIn0seyJDYXJkRGVmSWQiOiJLaXR0eVByeWRlIn0seyJDYXJkRGVmSWQiOiJBbmdlbGEifSx7IkNhcmREZWZJZCI6IkZvcmdlIn0seyJDYXJkRGVmSWQiOiJBcm1vciJ9LHsiQ2FyZERlZklkIjoiSHVsa2J1c3RlciJ9LHsiQ2FyZERlZklkIjoiUG9sYXJpcyJ9LHsiQ2FyZERlZklkIjoiU2h1cmkifSx7IkNhcmREZWZJZCI6IkNhcHRhaW5NYXJ2ZWwifSx7IkNhcmREZWZJZCI6IlRhc2ttYXN0ZXIifSx7IkNhcmREZWZJZCI6IlZpc2lvbiJ9LHsiQ2FyZERlZklkIjoiQW1lcmljYUNoYXZleiJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Shenaut,1.18,53.44,0.52,"Copy Code: # (1) The Hood
# (1) Sunspot
# (1) Titania
# (2) Armor
# (2) Viper
# (3) Green Goblin
# (3) Magik
# (3) Cosmo
# (4) Shang-Chi
# (5) Legion
# (6) She-Hulk
# (6) The Infinaut
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiSG9vZCJ9LHsiQ2FyZERlZklkIjoiU3Vuc3BvdCJ9LHsiQ2FyZERlZklkIjoiVGl0YW5pYSJ9LHsiQ2FyZERlZklkIjoiQXJtb3IifSx7IkNhcmREZWZJZCI6IlZpcGVyIn0seyJDYXJkRGVmSWQiOiJHcmVlbkdvYmxpbiJ9LHsiQ2FyZERlZklkIjoiTWFnaWsifSx7IkNhcmREZWZJZCI6IkNvc21vIn0seyJDYXJkRGVmSWQiOiJTaGFuZ0NoaSJ9LHsiQ2FyZERlZklkIjoiTGVnaW9uIn0seyJDYXJkRGVmSWQiOiJTaGVIdWxrIn0seyJDYXJkRGVmSWQiOiJJbmZpbmF1dCJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
HitMonkey Sera,1.15,55.59,0.48,"Copy Code: # (1) Nova
# (1) Kitty Pryde
# (2) Angela
# (2) Scarlet Witch
# (2) Sentinel
# (2) Mysterio
# (3) Bishop
# (3) Hit-Monkey
# (3) Killmonger
# (4) Shang-Chi
# (4) Enchantress
# (5) Sera
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTm92YSJ9LHsiQ2FyZERlZklkIjoiS2l0dHlQcnlkZSJ9LHsiQ2FyZERlZklkIjoiQW5nZWxhIn0seyJDYXJkRGVmSWQiOiJTY2FybGV0V2l0Y2gifSx7IkNhcmREZWZJZCI6IlNlbnRpbmVsIn0seyJDYXJkRGVmSWQiOiJNeXN0ZXJpbyJ9LHsiQ2FyZERlZklkIjoiQmlzaG9wIn0seyJDYXJkRGVmSWQiOiJIaXRNb25rZXkifSx7IkNhcmREZWZJZCI6IktpbGxtb25nZXIifSx7IkNhcmREZWZJZCI6IlNoYW5nQ2hpIn0seyJDYXJkRGVmSWQiOiJFbmNoYW50cmVzcyJ9LHsiQ2FyZERlZklkIjoiU2VyYSJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
High Evo,5.81,57.33,0.45,"Copy Code: # (1) Sunspot
# (1) Nebula
# (1) Misty Knight
# (2) Armor
# (2) Shocker
# (3) Magik
# (3) Cosmo
# (4) High Evolutionary
# (5) Leech
# (6) She-Hulk
# (6) Hulk
# (6) The Infinaut
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiU3Vuc3BvdCJ9LHsiQ2FyZERlZklkIjoiTmVidWxhIn0seyJDYXJkRGVmSWQiOiJNaXN0eUtuaWdodCJ9LHsiQ2FyZERlZklkIjoiQXJtb3IifSx7IkNhcmREZWZJZCI6IlNob2NrZXIifSx7IkNhcmREZWZJZCI6Ik1hZ2lrIn0seyJDYXJkRGVmSWQiOiJDb3NtbyJ9LHsiQ2FyZERlZklkIjoiSGlnaEV2b2x1dGlvbmFyeSJ9LHsiQ2FyZERlZklkIjoiTGVlY2gifSx7IkNhcmREZWZJZCI6IlNoZUh1bGsifSx7IkNhcmREZWZJZCI6Ikh1bGsifSx7IkNhcmREZWZJZCI6IkluZmluYXV0In1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Generic Self Destroy,3.53,55.98,0.44,"Copy Code: # (1) Deadpool
# (1) X-23
# (1) Yondu
# (2) Bucky Barnes
# (2) Carnage
# (2) Wolverine
# (3) Killmonger
# (3) Venom
# (3) Sabretooth
# (3) Deathlok
# (6) Knull
# (8) Death
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiRGVhZHBvb2wifSx7IkNhcmREZWZJZCI6IlgyMyJ9LHsiQ2FyZERlZklkIjoiWW9uZHUifSx7IkNhcmREZWZJZCI6IkJ1Y2t5QmFybmVzIn0seyJDYXJkRGVmSWQiOiJDYXJuYWdlIn0seyJDYXJkRGVmSWQiOiJXb2x2ZXJpbmUifSx7IkNhcmREZWZJZCI6IktpbGxtb25nZXIifSx7IkNhcmREZWZJZCI6IlZlbm9tIn0seyJDYXJkRGVmSWQiOiJTYWJyZXRvb3RoIn0seyJDYXJkRGVmSWQiOiJEZWF0aGxvayJ9LHsiQ2FyZERlZklkIjoiS251bGwifSx7IkNhcmREZWZJZCI6IkRlYXRoIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Invis Hela,3.12,48.86,0.41,"Copy Code: # (2) Invisible Woman
# (3) Electro
# (3) Magik
# (4) Jubilee
# (4) Iron Lad
# (5) Iron Man
# (5) M.O.D.O.K.
# (6) Hela
# (6) Onslaught
# (6) The Living Tribunal
# (6) Giganto
# (6) The Infinaut
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiSW52aXNpYmxlV29tYW4ifSx7IkNhcmREZWZJZCI6IkVsZWN0cm8ifSx7IkNhcmREZWZJZCI6Ik1hZ2lrIn0seyJDYXJkRGVmSWQiOiJKdWJpbGVlIn0seyJDYXJkRGVmSWQiOiJJcm9uTGFkIn0seyJDYXJkRGVmSWQiOiJJcm9uTWFuIn0seyJDYXJkRGVmSWQiOiJNb2RvayJ9LHsiQ2FyZERlZklkIjoiSGVsYSJ9LHsiQ2FyZERlZklkIjoiT25zbGF1Z2h0In0seyJDYXJkRGVmSWQiOiJMaXZpbmdUcmlidW5hbCJ9LHsiQ2FyZERlZklkIjoiR2lnYW50byJ9LHsiQ2FyZERlZklkIjoiSW5maW5hdXQifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Dracula,4.54,55.74,0.39,"Copy Code: # (1) Nebula
# (2) Morbius
# (2) Wolverine
# (2) Swarm
# (2) Colleen Wing
# (3) Daken
# (3) Lady Sif
# (4) Dracula
# (4) Absorbing Man
# (5) M.O.D.O.K.
# (6) Apocalypse
# (6) America Chavez
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTmVidWxhIn0seyJDYXJkRGVmSWQiOiJNb3JiaXVzIn0seyJDYXJkRGVmSWQiOiJXb2x2ZXJpbmUifSx7IkNhcmREZWZJZCI6IlN3YXJtIn0seyJDYXJkRGVmSWQiOiJDb2xsZWVuV2luZyJ9LHsiQ2FyZERlZklkIjoiRGFrZW4ifSx7IkNhcmREZWZJZCI6IkxhZHlTaWYifSx7IkNhcmREZWZJZCI6IkRyYWN1bGEifSx7IkNhcmREZWZJZCI6IkFic29yYmluZ01hbiJ9LHsiQ2FyZERlZklkIjoiTW9kb2sifSx7IkNhcmREZWZJZCI6IkFwb2NhbHlwc2UifSx7IkNhcmREZWZJZCI6IkFtZXJpY2FDaGF2ZXoifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Big Venom,7.87,54.22,0.36,"Copy Code: # (1) Deadpool
# (1) X-23
# (2) Forge
# (2) Carnage
# (2) Wolverine
# (3) Killmonger
# (3) Venom
# (3) Deathlok
# (3) Hulkbuster
# (5) Taskmaster
# (6) Knull
# (8) Death
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiRGVhZHBvb2wifSx7IkNhcmREZWZJZCI6IlgyMyJ9LHsiQ2FyZERlZklkIjoiRm9yZ2UifSx7IkNhcmREZWZJZCI6IkNhcm5hZ2UifSx7IkNhcmREZWZJZCI6IldvbHZlcmluZSJ9LHsiQ2FyZERlZklkIjoiS2lsbG1vbmdlciJ9LHsiQ2FyZERlZklkIjoiVmVub20ifSx7IkNhcmREZWZJZCI6IkRlYXRobG9rIn0seyJDYXJkRGVmSWQiOiJIdWxrYnVzdGVyIn0seyJDYXJkRGVmSWQiOiJUYXNrbWFzdGVyIn0seyJDYXJkRGVmSWQiOiJLbnVsbCJ9LHsiQ2FyZERlZklkIjoiRGVhdGgifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Knull Galactus,1.9,53.04,0.33,"Copy Code: # (1) Yondu
# (2) Forge
# (2) Carnage
# (2) Wolverine
# (3) Magik
# (3) Venom
# (4) Shuri
# (5) Nimrod
# (5) Legion
# (6) Knull
# (6) Galactus
# (8) Death
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiWW9uZHUifSx7IkNhcmREZWZJZCI6IkZvcmdlIn0seyJDYXJkRGVmSWQiOiJDYXJuYWdlIn0seyJDYXJkRGVmSWQiOiJXb2x2ZXJpbmUifSx7IkNhcmREZWZJZCI6Ik1hZ2lrIn0seyJDYXJkRGVmSWQiOiJWZW5vbSJ9LHsiQ2FyZERlZklkIjoiU2h1cmkifSx7IkNhcmREZWZJZCI6Ik5pbXJvZCJ9LHsiQ2FyZERlZklkIjoiTGVnaW9uIn0seyJDYXJkRGVmSWQiOiJLbnVsbCJ9LHsiQ2FyZERlZklkIjoiR2FsYWN0dXMifSx7IkNhcmREZWZJZCI6IkRlYXRoIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Zabu Darkhawk,6.17,54.99,0.32,"Copy Code: # (1) Korg
# (2) Spider-Ham
# (2) Zabu
# (2) Jeff the Baby Land Shark
# (3) Killmonger
# (4) Darkhawk
# (4) Shang-Chi
# (4) Captain Marvel
# (4) Enchantress
# (4) Rockslide
# (5) Stature
# (5) Black Bolt
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiS29yZyJ9LHsiQ2FyZERlZklkIjoiU3BpZGVySGFtIn0seyJDYXJkRGVmSWQiOiJaYWJ1In0seyJDYXJkRGVmSWQiOiJKZWZmVGhlQmFieUxhbmRTaGFyayJ9LHsiQ2FyZERlZklkIjoiS2lsbG1vbmdlciJ9LHsiQ2FyZERlZklkIjoiRGFya2hhd2sifSx7IkNhcmREZWZJZCI6IlNoYW5nQ2hpIn0seyJDYXJkRGVmSWQiOiJDYXB0YWluTWFydmVsIn0seyJDYXJkRGVmSWQiOiJFbmNoYW50cmVzcyJ9LHsiQ2FyZERlZklkIjoiUm9ja3NsaWRlIn0seyJDYXJkRGVmSWQiOiJTdGF0dXJlIn0seyJDYXJkRGVmSWQiOiJCbGFja0JvbHQifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
KaZoo,1.21,55.17,0.31,"Copy Code: # (1) Sunspot
# (1) Ant Man
# (1) Squirrel Girl
# (1) Iceman
# (1) Nightcrawler
# (2) Angela
# (3) Bishop
# (3) Mister Fantastic
# (4) Shang-Chi
# (4) Ka-Zar
# (4) Enchantress
# (5) Blue Marvel
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiU3Vuc3BvdCJ9LHsiQ2FyZERlZklkIjoiQW50TWFuIn0seyJDYXJkRGVmSWQiOiJTcXVpcnJlbEdpcmwifSx7IkNhcmREZWZJZCI6IkljZW1hbiJ9LHsiQ2FyZERlZklkIjoiTmlnaHRjcmF3bGVyIn0seyJDYXJkRGVmSWQiOiJBbmdlbGEifSx7IkNhcmREZWZJZCI6IkJpc2hvcCJ9LHsiQ2FyZERlZklkIjoiTXJGYW50YXN0aWMifSx7IkNhcmREZWZJZCI6IlNoYW5nQ2hpIn0seyJDYXJkRGVmSWQiOiJLYVphciJ9LHsiQ2FyZERlZklkIjoiRW5jaGFudHJlc3MifSx7IkNhcmREZWZJZCI6IkJsdWVNYXJ2ZWwifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
